gho_(code),indicator,gho_(url),year_(display),startyear,endyear,region_(code),region_(display),country_(code),country_(display),dimension_(type),dimension_(code),dimension_(name),numeric,value,low,high
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2003,2003,2003,AFR,Africa,RWA,Rwanda,SEX,SEX_BTSX,Both sexes,54.5,54.5,43.8,64.4
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2001,2001,2001,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_MODERATE,Moderate,31.5,31.5,22.4,39.7
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2013,2013,2013,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_TOTAL,Total,37.8,37.8,31.3,45.0
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2013,2013,2013,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_SEVERE,Severe,0.5,0.5,0.2,0.9
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2007,2007,2007,AFR,Africa,RWA,Rwanda,SEX,SEX_BTSX,Both sexes,45.4,45.4,37.4,54.2
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2004,2004,2004,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_MODERATE,Moderate,25.4,25.4,18.0,33.1
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2010,2010,2010,AFR,Africa,RWA,Rwanda,SEX,SEX_BTSX,Both sexes,40.6,40.6,33.8,48.3
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2002,2002,2002,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_MODERATE,Moderate,29.5,29.5,20.8,37.5
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2015,2015,2015,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_MODERATE,Moderate,14.1,14.1,9.8,19.6
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2005,2005,2005,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_SEVERE,Severe,1.4,1.4,0.6,2.6
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2017,2017,2017,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_SEVERE,Severe,0.5,0.5,0.2,0.9
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2007,2007,2007,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_SEVERE,Severe,1.0,1.0,0.5,1.8
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2008,2008,2008,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_TOTAL,Total,43.5,43.5,36.2,52.0
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2000,2000,2000,AFR,Africa,RWA,Rwanda,SEX,SEX_BTSX,Both sexes,61.3,61.3,49.3,71.4
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2005,2005,2005,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_MODERATE,Moderate,23.5,23.5,16.8,31.0
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2014,2014,2014,AFR,Africa,RWA,Rwanda,SEVERITY,SEVERITY_MILD,Mild,22.8,22.8,19.5,25.7
